message,persuasive_type,activity,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,unique_word_ratio,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,noun_count,verb_count,adj_count,adv_count,word_diversity,has_question,has_exclamation,has_numbers,starts_with_verb,ends_with_call_to_action,sentiment_polarity,sentiment_subjectivity,persuasive_type_encoded,persuasive_type_praise,persuasive_type_reminder,persuasive_type_reward,persuasive_type_suggestion,activity_encoded,activity_healthy eating,activity_meal planning,activity_portion control,activity_water intake
"Don't forget to monitor your healthy eating.

This recipe has been the perfect companion for a healthy, low carb, gluten-free diet.",reminder,healthy eating,0.4083333333,0.4418604651,0.125,0.4163801955,0.2142857143,0.7403846154,0.6656891496,0.3231707317,0.364021805,0,0.4163090129,0.4211561148,0.25,0.3571428571,0.5555555556,0.125,0.8877005348,FALSE,FALSE,FALSE,TRUE,FALSE,0.6428571429,0.575,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"By maintaining meal planning, you'll feel better. This is not only for those who are in the mood for a good meal, but also for people who need a break from eating and who want to take a few days off to recharge their batteries.",reward,meal planning,0.8083333333,1,0.125,0.2449506674,0.5,0.55,0.7191518159,0.4634146341,0.5317989098,0,0.4377682403,0.2650412898,0.4375,0.6428571429,0.2222222222,0.5,0.5703324808,FALSE,FALSE,FALSE,FALSE,TRUE,0.4642857143,0.55,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your water intake by drinking a limited amount of water daily.

How do you do it?
. The simplest way is to drink just 3 cups of drinking water a day. It is also a good idea to reduce your intake",suggestion,water intake,0.7333333333,0.9302325581,0.5,0.2000901446,0.1285714286,0.329787234,0.7576133544,0.262195122,0.1968503937,0.4109589041,0.1373390558,0.1569012977,0.6875,0.6428571429,0.3333333333,0.25,0.2530779754,TRUE,FALSE,TRUE,TRUE,FALSE,0.4353741497,0.2476190476,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"Great job with your water intake!


The water is the key.

So this is where we stand.

:)",praise,water intake,0.2333333333,0.3488372093,0.375,0.07402522028,0.03571428571,0.6931818182,0.9114595082,0.06707317073,0.01695941853,0.2123287671,0.06008583691,0.04522217853,0.25,0.2142857143,0.1111111111,0.125,0.5640138408,FALSE,TRUE,FALSE,FALSE,FALSE,0.6428571429,0.9166666667,0,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your portion control by increasing your intake of sodium, potassium, and chloride. You will need to use your body's own potassium.

For example, you may want to eat a low-fat diet. But you might not want",suggestion,portion control,0.7708333333,0.9069767442,0.375,0.3144225189,0.1785714286,0.4619565217,0.6736972705,0.3109756098,0.3028467595,0.602739726,0.2703862661,0.2909948879,0.5625,0.5714285714,0.2222222222,0.125,0.5058823529,FALSE,FALSE,FALSE,TRUE,FALSE,0.7142857143,1,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your meal planning by combining it with food preparation and nutrition information.

Nutrition Information
, please read the Nutrition Information for each food before you begin your plan. All information on your menu may be outdated, outdated or inaccurate.",suggestion,meal planning,1,0.9069767442,0.25,0.6539466048,0.2698412698,0.5108695652,0.2473494248,0.6890243902,0.5651120533,1,0.5622317597,0.5839559575,0.75,0.5714285714,0,0,0.4576757532,FALSE,FALSE,FALSE,TRUE,FALSE,0,0.6333333333,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your water intake by taking your intake into account when making your health and lifestyle decisions.

How can I help my family get the best care for me?
 ""I've had a great life. I've been a good mom",suggestion,water intake,0.7541666667,0.9302325581,0.375,0.2512132476,0.1845238095,0.6170212766,0.7633656666,0.25,0.1877649909,0.4931506849,0.2017167382,0.2158867479,0.5625,0.7142857143,0.4444444444,0,0.5978112175,TRUE,FALSE,FALSE,TRUE,FALSE,0.880952381,0.55,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your meal planning by making quick and easy meals that are easy to prepare, fast and affordable for your family. Make sure you are aware of the different types of meal options available and how much money you will be spending to get them.",suggestion,meal planning,0.9166666667,1,0.125,0.3891178178,0.5,0.505,0.6122264832,0.5609756098,0.4996971532,0,0.5236051502,0.3519465199,0.5,0.6428571429,0.8888888889,0.125,0.4743429287,FALSE,FALSE,FALSE,TRUE,TRUE,0.503968254,0.5672839506,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"Don't forget to monitor your portion control. If you want to try out something different, it's very important to have at least one of your body's components.

When you have a set number of portions, you'll notice a big difference",reminder,portion control,0.8166666667,0.9534883721,0.25,0.3282973012,0.2857142857,0.484375,0.6336566659,0.3902439024,0.3222289522,0.7191780822,0.3733905579,0.3488006292,0.4375,0.7142857143,0.4444444444,0.25,0.4946524064,FALSE,FALSE,FALSE,TRUE,FALSE,0.325,0.525,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your healthy eating by using this simple, yet effective meal plan.

Why it works
, you'll notice that it's very easy to eat and maintain a healthy weight. The only thing you have to do is take a break",suggestion,healthy eating,0.7583333333,0.9302325581,0.25,0.2512132476,0.2777777778,0.6170212766,0.8198736747,0.256097561,0.2701393095,0.4383561644,0.2789699571,0.2552103814,0.375,0.8571428571,0.5555555556,0.25,0.6552667579,FALSE,FALSE,FALSE,TRUE,FALSE,0.5432539683,0.6928571429,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
